1. Bring the Noise,Public Enemy
2. Nuthin' but a 'G' Thang,Dr. Dre
3. Gangsta's Paradise,Coolio
4. Get Ur Freak On,Missy Elliott
5. Wild Wild West,Will Smith
6. My Name Is,Eminem
7. California Love,2Pac
8. Hypnotize,The Notorious B.I.G.
9. Lose Yourself,Eminem
10. Humpty Dance,Digital Underground
11. Big Poppa,The Notorious B.I.G.
12. Can't Nobody Hold Me Down,Puff Daddy
13. This Is How We Do It,Montell Jordan
14. It Was a Good Day,Ice Cube
15. The Next Episode,Dr. Dre
16. Stir Fry,Migos
17. Shake It Fast,Mystikal
18. Da Rockwilder,Method Man & Redman
19. Regulate,Warren G
20. How We Do,The Game
